"ticker","name","market","sector","currency","slug","vendor_id","is_active"
فولاد,فولاد مبارکه اصفهان,TSE,فلزات اساسی,IRR,foolad,"46348559193224090",true
SPY,SPDR S&P 500 ETF Trust,GLOBAL,ETF,USD,spy,SPY,true
